Entity,Type,Superclass(es),http://www.w3.org/2000/01/rdf-schema#label,http://edamontology.org/created_in,http://www.geneontology.org/formats/oboInOwl#hasDefinition,
http://edamontology.org/data_0850,Class,http://edamontology.org/data_0006,"'Sequence set'","'beta12orEarlier'","'A collection of one or typically multiple molecular sequences (which can include derived data or metadata) that do not (typically) correspond to molecular sequence database records or entries and which (typically) are derived from some analytical method.'",
http://edamontology.org/data_0851,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence mask character'","'beta12orEarlier'","'A character used to replace (mask) other characters in a molecular sequence.'",
http://edamontology.org/data_0852,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence mask type'","'beta12orEarlier'","'A label (text token) describing the type of sequence masking to perform.'",
http://edamontology.org/data_0853,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'DNA sense specification'","'beta12orEarlier'","'The strand of a DNA sequence (forward or reverse).'",
http://edamontology.org/data_0854,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence length specification'","'beta12orEarlier'","'A specification of sequence length(s).'",
http://edamontology.org/data_0855,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence metadata'","'beta12orEarlier'","'Basic or general information concerning molecular sequences.'",
http://edamontology.org/data_0856,Class,http://edamontology.org/data_2914,"'Sequence feature source'","'beta12orEarlier'","'How the annotation of a sequence feature (for example in EMBL or Swiss-Prot) was derived.'",
http://edamontology.org/data_0857,Class,http://edamontology.org/data_2080,"'Sequence search results'","'beta12orEarlier'","'A report of sequence hits and associated data from searching a database of sequences (for example a BLAST search). This will typically include a list of scores (often with statistical evaluation) and a set of alignments for the hits.'",
http://edamontology.org/data_0858,Class,http://edamontology.org/data_0860	http://edamontology.org/data_1916,"'Sequence signature matches'","'beta12orEarlier'","'Report on the location of matches ('hits') between sequences, sequence profiles, motifs (conserved or functional patterns) and other types of sequence signatures.'",
http://edamontology.org/data_0859,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence signature model'","'beta12orEarlier'","'Data files used by motif or profile methods.'",
http://edamontology.org/data_0860,Class,http://edamontology.org/data_0006,"'Sequence signature data'","'beta12orEarlier'","'Data concering concerning specific or conserved pattern in molecular sequences and the classifiers used for their identification, including sequence motifs, profiles or other diagnostic element.'",
http://edamontology.org/data_0861,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence alignment (words)'","'beta12orEarlier'","'Alignment of exact matches between subsequences (words) within two or more molecular sequences.'",
http://edamontology.org/data_0862,Class,http://edamontology.org/data_0867,"'Dotplot'","'beta12orEarlier'","'A dotplot of sequence similarities identified from word-matching or character comparison.'",
http://edamontology.org/data_0863,Class,http://edamontology.org/data_1916,"'Sequence alignment'","'beta12orEarlier'","'Alignment of multiple molecular sequences.'",
http://edamontology.org/data_0864,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence alignment parameter'","'beta12orEarlier'","'Some simple value controlling a sequence alignment (or similar 'match') operation.'",
http://edamontology.org/data_0865,Class,http://edamontology.org/data_1772,"'Sequence similarity score'","'beta12orEarlier'","'A value representing molecular sequence similarity.'",
http://edamontology.org/data_0866,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence alignment metadata'","'beta12orEarlier'","'Report of general information on a sequence alignment, typically include a description, sequence identifiers and alignment score.'",
http://edamontology.org/data_0867,Class,http://edamontology.org/data_2048,"'Sequence alignment report'","'beta12orEarlier'","'An informative report of molecular sequence alignment-derived data or metadata.'",
http://edamontology.org/data_0868,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Profile-profile alignment'","'beta12orEarlier'","'A profile-profile alignment (each profile typically representing a sequence alignment).'",
http://edamontology.org/data_0869,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence-profile alignment'","'beta12orEarlier'","'Alignment of one or more molecular sequence(s) to one or more sequence profile(s) (each profile typically representing a sequence alignment).'",
http://edamontology.org/data_0870,Class,http://edamontology.org/data_2855,"'Sequence distance matrix'","'beta12orEarlier'","'A matrix of estimated evolutionary distance between molecular sequences, such as is suitable for phylogenetic tree calculation.'",
http://edamontology.org/data_0871,Class,http://edamontology.org/data_2523,"'Phylogenetic character data'","'beta12orEarlier'","'Basic character data from which a phylogenetic tree may be generated.'",
http://edamontology.org/data_0872,Class,http://edamontology.org/data_2523,"'Phylogenetic tree'","'beta12orEarlier'","'The raw data (not just an image) from which a phylogenetic tree is directly generated or plotted, such as topology, lengths (in time or in expected amounts of variance) and a confidence interval for each length.'",
http://edamontology.org/data_0874,Class,http://edamontology.org/data_2082,"'Comparison matrix'","'beta12orEarlier'","'Matrix of integer or floating point numbers for amino acid or nucleotide sequence comparison.'",
http://edamontology.org/data_0875,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein topology'","'beta12orEarlier'","'Predicted or actual protein topology represented as a string of protein secondary structure elements.'",
http://edamontology.org/data_0876,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein features report (secondary structure)'","'beta12orEarlier'","'Secondary structure (predicted or real) of a protein.'",
http://edamontology.org/data_0877,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein features report (super-secondary)'","'beta12orEarlier'","'Super-secondary structure of protein sequence(s).'",
http://edamontology.org/data_0878,Class,http://edamontology.org/data_2366,"'Protein secondary structure alignment'","'beta12orEarlier'","'Alignment of the (1D representations of) secondary structure of two or more proteins.'",
http://edamontology.org/data_0879,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Secondary structure alignment metadata (protein)'","'beta12orEarlier'","'An informative report on protein secondary structure alignment-derived data or metadata.'",
http://edamontology.org/data_0880,Class,http://edamontology.org/data_1465,"'RNA secondary structure'","'beta12orEarlier'","'An informative report of secondary structure (predicted or real) of an RNA molecule.'",
http://edamontology.org/data_0881,Class,http://edamontology.org/data_2366,"'RNA secondary structure alignment'","'beta12orEarlier'","'Alignment of the (1D representations of) secondary structure of two or more RNA molecules.'",
http://edamontology.org/data_0882,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Secondary structure alignment metadata (RNA)'","'beta12orEarlier'","'An informative report of RNA secondary structure alignment-derived data or metadata.'",
http://edamontology.org/data_0883,Class,http://edamontology.org/data_0006,"'Structure'","'beta12orEarlier'","'3D coordinate and associated data for a macromolecular tertiary (3D) structure or part of a structure.'",
http://edamontology.org/data_0884,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Tertiary structure record'","'beta12orEarlier'","'An entry from a molecular tertiary (3D) structure database.'",
http://edamontology.org/data_0885,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Structure database search results'","'beta12orEarlier'","'Results (hits) from searching a database of tertiary structure.'",
http://edamontology.org/data_0886,Class,http://edamontology.org/data_1916,"'Structure alignment'","'beta12orEarlier'","'Alignment (superimposition) of molecular tertiary (3D) structures.'",
http://edamontology.org/data_0887,Class,http://edamontology.org/data_2048,"'Structure alignment report'","'beta12orEarlier'","'An informative report of molecular tertiary structure alignment-derived data.'",
http://edamontology.org/data_0888,Class,http://edamontology.org/data_1772,"'Structure similarity score'","'beta12orEarlier'","'A value representing molecular structure similarity, measured from structure alignment or some other type of structure comparison.'",
http://edamontology.org/data_0889,Class,http://edamontology.org/data_0006,"'Structural profile'","'beta12orEarlier'","'Some type of structural (3D) profile or template (representing a structure or structure alignment).'",
http://edamontology.org/data_0890,Class,http://edamontology.org/data_1916,"'Structural (3D) profile alignment'","'beta12orEarlier'","'A 3D profile-3D profile alignment (each profile representing structures or a structure alignment).'",
http://edamontology.org/data_0891,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence-3D profile alignment'","'beta12orEarlier'","'An alignment of a sequence to a 3D profile (representing structures or a structure alignment).'",
http://edamontology.org/data_0892,Class,http://edamontology.org/data_2082,"'Protein sequence-structure scoring matrix'","'beta12orEarlier'","'Matrix of values used for scoring sequence-structure compatibility.'",
http://edamontology.org/data_0893,Class,http://edamontology.org/data_1916,"'Sequence-structure alignment'","'beta12orEarlier'","'An alignment of molecular sequence to structure (from threading sequence(s) through 3D structure or representation of structure(s)).'",
http://edamontology.org/data_0894,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Amino acid annotation'","'beta12orEarlier'","'An informative report about a specific amino acid.'",
http://edamontology.org/data_0895,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Peptide annotation'","'beta12orEarlier'","'An informative report about a specific peptide.'",
http://edamontology.org/data_0896,Class,http://edamontology.org/data_2048,"'Protein report'","'beta12orEarlier'","'An informative human-readable report about one or more specific protein molecules or protein structural domains, derived from analysis of primary (sequence or structural) data.'",
http://edamontology.org/data_0897,Class,http://edamontology.org/data_2087,"'Protein property'","'beta12orEarlier'","'A report of primarily non-positional data describing intrinsic physical, chemical or other properties of a protein molecule or model.'",
http://edamontology.org/data_0899,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein structural motifs and surfaces'","'beta12orEarlier'","'3D structural motifs in a protein.'",
http://edamontology.org/data_0900,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein domain classification'","'beta12orEarlier'","'Data concerning the classification of the sequences and/or structures of protein structural domain(s).'",
http://edamontology.org/data_0901,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein features report (domains)'","'beta12orEarlier'","'structural domains or 3D folds in a protein or polypeptide chain.'",
http://edamontology.org/data_0902,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein architecture report'","'beta12orEarlier'","'An informative report on architecture (spatial arrangement of secondary structure) of a protein structure.'",
http://edamontology.org/data_0903,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein folding report'","'beta12orEarlier'","'A report on an analysis or model of protein folding properties, folding pathways, residues or sites that are key to protein folding, nucleation or stabilisation centers etc.'",
http://edamontology.org/data_0904,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Protein features (mutation)'","'beta12orEarlier'","'Data on the effect of (typically point) mutation on protein folding, stability, structure and function.'",
http://edamontology.org/data_0905,Class,http://edamontology.org/data_3108,"'Protein interaction raw data'","'beta12orEarlier'","'Protein-protein interaction data from for example yeast two-hybrid analysis, protein microarrays, immunoaffinity chromatography followed by mass spectrometry, phage display etc.'",
http://edamontology.org/data_0906,Class,http://edamontology.org/data_0897,"'Protein interaction data'","'beta12orEarlier'","'Data concerning the interactions (predicted or known) within or between a protein, structural domain or part of a protein. This includes intra- and inter-residue contacts and distances, as well as interactions with other proteins and non-protein entities such as nucleic acid, metal atoms, water, ions etc.'",
http://edamontology.org/data_0907,Class,http://edamontology.org/data_0896,"'Protein family report'","'beta12orEarlier'","'An informative report on a specific protein family or other classification or group of protein sequences or structures.'",
http://edamontology.org/data_0909,Class,http://edamontology.org/data_2024,"'Vmax'","'beta12orEarlier'","'The maximum initial velocity or rate of a reaction. It is the limiting velocity as substrate concentrations get very large.'",
http://edamontology.org/data_0910,Class,http://edamontology.org/data_2024,"'Km'","'beta12orEarlier'","'Km is the concentration (usually in Molar units) of substrate that leads to half-maximal velocity of an enzyme-catalysed reaction.'",
http://edamontology.org/data_0911,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Nucleotide base annotation'","'beta12orEarlier'","'An informative report about a specific nucleotide base.'",
http://edamontology.org/data_0912,Class,http://edamontology.org/data_2087,"'Nucleic acid property'","'beta12orEarlier'","'A report of primarily non-positional data describing intrinsic physical, chemical or other properties of a nucleic acid molecule.'",
http://edamontology.org/data_0914,Class,http://edamontology.org/data_0006,"'Codon usage data'","'beta12orEarlier'","'Data derived from analysis of codon usage (typically a codon usage table) of DNA sequences.'",
http://edamontology.org/data_0916,Class,http://edamontology.org/data_2084,"'Gene report'","'beta12orEarlier'","'A report on predicted or actual gene structure, regions which make an RNA product and features such as promoters, coding regions, splice sites etc.'",
http://edamontology.org/data_0917,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Gene classification'","'beta12orEarlier'","'A report on the classification of nucleic acid / gene sequences according to the functional classification of their gene products.'",
http://edamontology.org/data_0918,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'DNA variation'","'beta12orEarlier'","'stable, naturally occuring mutations in a nucleotide sequence including alleles, naturally occurring mutations such as single base nucleotide substitutions, deletions and insertions, RFLPs and other polymorphisms.'",
http://edamontology.org/data_0919,Class,http://edamontology.org/data_2084,"'Chromosome report'","'beta12orEarlier'","'A human-readable collection of information about a specific chromosome.'",
http://edamontology.org/data_0920,Class,http://edamontology.org/data_2048,"'Genotype/phenotype report'","'beta12orEarlier'","'A human-readable collection of information about the set of genes (or allelic forms) present in an individual, organism or cell and associated with a specific physical characteristic, or a report concerning an organisms traits and phenotypes.'",
http://edamontology.org/data_0923,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'PCR experiment report'","'beta12orEarlier'","'PCR experiments, e.g. quantitative real-time PCR.'",
http://edamontology.org/data_0924,Class,http://edamontology.org/data_1234	http://edamontology.org/data_3108,"'Sequence trace'","'beta12orEarlier'","'Fluorescence trace data generated by an automated DNA sequencer, which can be interprted as a molecular sequence (reads), given associated sequencing metadata such as base-call quality scores.'",
http://edamontology.org/data_0925,Class,http://edamontology.org/data_1234,"'Sequence assembly'","'beta12orEarlier'","'An assembly of fragments of a (typically genomic) DNA sequence.'",
http://edamontology.org/data_0926,Class,http://edamontology.org/data_3108,"'RH scores'","'beta12orEarlier'","'Radiation hybrid scores (RH) scores for one or more markers.'",
http://edamontology.org/data_0927,Class,http://edamontology.org/data_2084,"'Genetic linkage report'","'beta12orEarlier'","'A human-readable collection of information about the linkage of alleles.'",
http://edamontology.org/data_0928,Class,http://edamontology.org/data_2603,"'Gene expression profile'","'beta12orEarlier'","'Data quantifying the level of expression of (typically) multiple genes, derived for example from microarray experiments.'",
http://edamontology.org/data_0931,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Microarray experiment report'","'beta12orEarlier'","'microarray experiments including conditions, protocol, sample:data relationships etc.'",
http://edamontology.org/data_0932,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Oligonucleotide probe data'","'beta12orEarlier'","'Data on oligonucleotide probes (typically for use with DNA microarrays).'",
http://edamontology.org/data_0933,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'SAGE experimental data'","'beta12orEarlier'","'Output from a serial analysis of gene expression (SAGE) experiment.'",
http://edamontology.org/data_0934,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'MPSS experimental data'","'beta12orEarlier'","'Massively parallel signature sequencing (MPSS) data.'",
http://edamontology.org/data_0935,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'SBS experimental data'","'beta12orEarlier'","'Sequencing by synthesis (SBS) data.'",
http://edamontology.org/data_0936,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Sequence tag profile (with gene assignment)'","'beta12orEarlier'","'Tag to gene assignments (tag mapping) of SAGE, MPSS and SBS data. Typically this is the sequencing-based expression profile annotated with gene identifiers.'",
http://edamontology.org/data_0937,Class,http://edamontology.org/data_2537,"'Electron density map'","'beta12orEarlier'","'X-ray crystallography data.'",
http://edamontology.org/data_0938,Class,http://edamontology.org/data_2537,"'Raw NMR data'","'beta12orEarlier'","'Nuclear magnetic resonance (NMR) raw data, typically for a protein.'",
http://edamontology.org/data_0939,Class,http://edamontology.org/data_2537,"'CD spectra'","'beta12orEarlier'","'Protein secondary structure from protein coordinate or circular dichroism (CD) spectroscopic data.'",
http://edamontology.org/data_0940,Class,http://edamontology.org/data_3108,"'Volume map'","'beta12orEarlier'","'Volume map data from electron microscopy.'",
http://edamontology.org/data_0941,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Electron microscopy model'","'beta12orEarlier'","'Annotation on a structural 3D model (volume map) from electron microscopy.'",
http://edamontology.org/data_0942,Class,http://edamontology.org/data_3424,"'2D PAGE image'","'beta12orEarlier'","'Two-dimensional gel electrophoresis image'",
http://edamontology.org/data_0943,Class,http://edamontology.org/data_2536,"'Mass spectrum'","'beta12orEarlier'","'Spectra from mass spectrometry.'",
http://edamontology.org/data_0944,Class,http://edamontology.org/data_2979	http://edamontology.org/data_2536,"'Peptide mass fingerprint'","'beta12orEarlier'","'A set of peptide masses (peptide mass fingerprint) from mass spectrometry.'",
http://edamontology.org/data_0945,Class,http://edamontology.org/data_2979	http://edamontology.org/data_0897,"'Peptide identification'","'beta12orEarlier'","'Protein or peptide identifications with evidence supporting the identifications, for example from comparing a peptide mass fingerprint (from mass spectrometry) to a sequence database, or  the set of typical spectra one obtains when running a protein through a mass spectrometer.'",
http://edamontology.org/data_0946,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Pathway or network annotation'","'beta12orEarlier'","'An informative report about a specific biological pathway or network, typically including a map (diagram) of the pathway.'",
http://edamontology.org/data_0947,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Biological pathway map'","'beta12orEarlier'","'A map (typically a diagram) of a biological pathway.'",
http://edamontology.org/data_0948,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Data resource definition'","'beta12orEarlier'","'A definition of a data resource serving one or more types of data, including metadata and links to the resource or data proper.'",
http://edamontology.org/data_0949,Class,http://edamontology.org/data_2337,"'Workflow metadata'","'beta12orEarlier'","'Basic information, annotation or documentation concerning a workflow (but not the workflow itself).'",
http://edamontology.org/data_0950,Class,http://edamontology.org/data_0006,"'Mathematical model'","'beta12orEarlier'","'A biological model represented in mathematical terms.'",
http://edamontology.org/data_0951,Class,http://edamontology.org/data_1772,"'Statistical estimate score'","'beta12orEarlier'","'A value representing estimated statistical significance of some observed data; typically sequence database hits.'",
http://edamontology.org/data_0952,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'EMBOSS database resource definition'","'beta12orEarlier'","'Resource definition for an EMBOSS database.'",
http://edamontology.org/data_0953,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Version information'","'beta12orEarlier'","'Information on a version of software or data, for example name, version number and release date.'",
http://edamontology.org/data_0954,Class,http://edamontology.org/data_2093,"'Database cross-mapping'","'beta12orEarlier'","'A mapping of the accession numbers (or other database identifier) of entries between (typically) two biological or biomedical databases.'",
http://edamontology.org/data_0955,Class,http://edamontology.org/data_0006,"'Data index'","'beta12orEarlier'","'An index of data of biological relevance.'",
http://edamontology.org/data_0956,Class,http://edamontology.org/data_2048,"'Data index report'","'beta12orEarlier'","'A human-readable collection of information concerning an analysis of an index of biological data.'",
http://edamontology.org/data_0957,Class,http://edamontology.org/data_2337,"'Database metadata'","'beta12orEarlier'","'Basic information on bioinformatics database(s) or other data sources such as name, type, description, URL etc.'",
http://edamontology.org/data_0958,Class,http://edamontology.org/data_2337,"'Tool metadata'","'beta12orEarlier'","'Basic information about one or more bioinformatics applications or packages, such as name, type, description, or other documentation.'",
http://edamontology.org/data_0959,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Job metadata'","'beta12orEarlier'","'Textual metadata on a submitted or completed job.'",
http://edamontology.org/data_0960,Class,http://edamontology.org/data_2337,"'User metadata'","'beta12orEarlier'","'Textual metadata on a software author or end-user, for example a person or other software.'",
http://edamontology.org/data_0962,Class,http://edamontology.org/data_2085,"'Small molecule report'","'beta12orEarlier'","'A human-readable collection of information about a specific chemical compound.'",
http://edamontology.org/data_0963,Class,http://edamontology.org/data_2530,"'Cell line report'","'beta12orEarlier'","'A human-readable collection of information about a particular strain of organism cell line including plants, virus, fungi and bacteria. The data typically includes strain number, organism type, growth conditions, source and so on.'",
http://edamontology.org/data_0964,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Scent annotation'","'beta12orEarlier'","'An informative report about a specific scent.'",
http://edamontology.org/data_0966,Class,http://edamontology.org/data_0967,"'Ontology term'","'beta12orEarlier'","'A term (name) from an ontology.'",
http://edamontology.org/data_0967,Class,http://edamontology.org/data_2353,"'Ontology concept data'","'beta12orEarlier'","'Data concerning or derived from a concept from a biological ontology.'",
http://edamontology.org/data_0968,Class,http://edamontology.org/data_0006,"'Keyword'","'beta12orEarlier'","'Keyword(s) or phrase(s) used (typically) for text-searching purposes.'",
http://edamontology.org/data_0970,Class,http://edamontology.org/data_2526,"'Citation'","'beta12orEarlier'","'Bibliographic data that uniquely identifies a scientific article, book or other published material.'",
http://edamontology.org/data_0971,Class,http://edamontology.org/data_3671	http://edamontology.org/data_2526,"'Article'","'beta12orEarlier'","'A scientific text, typically a full text article from a scientific journal.'",
http://edamontology.org/data_0972,Class,http://edamontology.org/data_2048	http://edamontology.org/data_2526,"'Text mining report'","'beta12orEarlier'","'A human-readable collection of information resulting from text mining.'",
http://edamontology.org/data_0974,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Entity identifier'","'beta12orEarlier'","'An identifier of a biological entity or phenomenon.'",
http://edamontology.org/data_0975,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Data resource identifier'","'beta12orEarlier'","'An identifier of a data resource.'",
http://edamontology.org/data_0976,Class,http://edamontology.org/data_0842,"'Identifier (by type of data)'","'beta12orEarlier'","'An identifier that identifies a particular type of data.'",
http://edamontology.org/data_0977,Class,http://edamontology.org/data_0976,"'Tool identifier'","'beta12orEarlier'","'An identifier of a bioinformatics tool, e.g. an application or web service.'",
http://edamontology.org/data_0978,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Discrete entity identifier'","'beta12orEarlier'","'Name or other identifier of a discrete entity (any biological thing with a distinct, discrete physical existence).'",
http://edamontology.org/data_0979,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Entity feature identifier'","'beta12orEarlier'","'Name or other identifier of an entity feature (a physical part or region of a discrete biological entity, or a feature that can be mapped to such a thing).'",
http://edamontology.org/data_0980,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Entity collection identifier'","'beta12orEarlier'","'Name or other identifier of a collection of discrete biological entities.'",
http://edamontology.org/data_0981,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Phenomenon identifier'","'beta12orEarlier'","'Name or other identifier of a physical, observable biological occurrence or event.'",
http://edamontology.org/data_0982,Class,http://edamontology.org/data_0976,"'Molecule identifier'","'beta12orEarlier'","'Name or other identifier of a molecule.'",
http://edamontology.org/data_0983,Class,http://edamontology.org/data_0976,"'Atom ID'","'beta12orEarlier'","'Identifier (e.g. character symbol) of a specific atom.'",
http://edamontology.org/data_0984,Class,http://edamontology.org/data_2099	http://edamontology.org/data_0982,"'Molecule name'","'beta12orEarlier'","'Name of a specific molecule.'",
http://edamontology.org/data_0985,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Molecule type'","'beta12orEarlier'","'A label (text token) describing the type a molecule.'",
http://edamontology.org/data_0986,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Chemical identifier'","'beta12orEarlier'","'Unique identifier of a chemical compound.'",
http://edamontology.org/data_0987,Class,http://edamontology.org/data_2119	http://edamontology.org/data_0984,"'Chromosome name'","'beta12orEarlier'","'Name of a chromosome.'",
http://edamontology.org/data_0988,Class,http://edamontology.org/data_0982,"'Peptide identifier'","'beta12orEarlier'","'Identifier of a peptide chain.'",
http://edamontology.org/data_0989,Class,http://edamontology.org/data_0982,"'Protein identifier'","'beta12orEarlier'","'Identifier of a protein.'",
http://edamontology.org/data_0990,Class,http://edamontology.org/data_1086	http://edamontology.org/data_0984,"'Compound name'","'beta12orEarlier'","'Unique name of a chemical compound.'",
http://edamontology.org/data_0991,Class,http://edamontology.org/data_2894,"'Chemical registry number'","'beta12orEarlier'","'Unique registry number of a chemical compound.'",
http://edamontology.org/data_0992,Class,http://www.w3.org/2002/07/owl#DeprecatedClass,"'Ligand identifier'","'beta12orEarlier'","'Code word for a ligand, for example from a PDB file.'",
http://edamontology.org/data_0993,Class,http://edamontology.org/data_1086,"'Drug identifier'","'beta12orEarlier'","'Identifier of a drug.'",
http://edamontology.org/data_0994,Class,http://edamontology.org/data_1086,"'Amino acid identifier'","'beta12orEarlier'","'Identifier of an amino acid.'",
http://edamontology.org/data_0995,Class,http://edamontology.org/data_1086,"'Nucleotide identifier'","'beta12orEarlier'","'Name or other identifier of a nucleotide.'",
http://edamontology.org/data_0996,Class,http://edamontology.org/data_1086,"'Monosaccharide identifier'","'beta12orEarlier'","'Identifier of a monosaccharide.'",
http://edamontology.org/data_0997,Class,http://edamontology.org/data_0990,"'Chemical name (ChEBI)'","'beta12orEarlier'","'Unique name from Chemical Entities of Biological Interest (ChEBI) of a chemical compound.'",
